block_txs,compression_ratio
256,0.843014
242,0.977827
7,0.666667
14,0.752475
160,0.967825
487,0.988571
102,0.955575
14,0.768519
23,0.820789
429,0.986918
65,0.931034
83,0.940618
489,0.988136
303,0.982958
87,0.966722
482,0.990090
120,0.960815
40,0.882353
15,0.791667
54,0.912434
171,0.973248
309,0.984069
331,0.983550
42,0.895288
195,0.972520
34,0.882629
3,0.438202
190,0.972291
7,0.604743
329,0.984798
531,0.990276
639,0.990609
125,0.985086
321,0.983474
506,0.989175
264,0.979716
66,0.942363
1104,0.994195
431,0.991928
862,0.997016
322,0.991541
67,0.967887
25,0.921260
19,0.893955
1565,0.998544
218,0.992248
329,0.993635
319,0.991428
7,0.942297
208,0.987567
197,0.990349
523,0.994483
206,0.989693
331,0.994314
379,0.994364
231,0.987818
80,0.986207
656,0.995080
19,0.920572
45,0.942595
11,0.869622
118,0.984207
35,0.952808
266,0.993073
70,0.985998
80,0.971942
297,0.991458
479,0.996067
285,0.995319
269,0.996235
71,0.990873
198,0.994709
137,0.984802
562,0.995288
21,0.912816
540,0.995037
132,0.984944
761,0.997381
230,0.990577
301,0.993719
9,0.775281
15,0.877150
556,0.995126
157,0.988234
927,0.997206
24,0.949875
499,0.995582
586,0.994335
238,0.995701
114,0.991320
677,0.996063
108,0.985418
136,0.986660
182,0.992545
308,0.993390
534,0.995766
639,0.995930
622,0.993002
615,0.995806
197,0.989560
179,0.987962
450,0.994803
1031,0.997503
27,0.940405
367,0.991845
301,0.990881
6,0.658703
217,0.989367
511,0.995881
159,0.989155
500,0.995694
303,0.991792
999,0.998099
435,0.997021
407,0.995741
791,0.996889
159,0.990091
188,0.988850
274,0.992308
175,0.989121
118,0.985692
1026,0.997738
250,0.992358
393,0.994356
54,0.984107
181,0.991140
705,0.997393
103,0.987854
389,0.995158
1130,0.998408
5,0.692308
1146,0.997525
115,0.994148
81,0.987793
25,0.928006
160,0.988881
413,0.995825
490,0.996269
28,0.947146
40,0.974606
332,0.995121
57,0.980832
37,0.957501
451,0.997245
395,0.995620
657,0.996412
200,0.992285
92,0.987550
392,0.994468
136,0.989800
179,0.990118
403,0.996191
287,0.996345
110,0.991079
57,0.994280
91,0.988386
6,0.537037
283,0.974786
416,0.996384
10,0.834711
157,0.988156
211,0.994430
156,0.992290
320,0.994708
51,0.971040
55,0.970811
272,0.992023
19,0.936265
155,0.989589
378,0.995697
442,0.995148
97,0.983071
364,0.994426
102,0.985272
310,0.993750
16,0.914384
221,0.991728
36,0.956915
296,0.992708
133,0.992234
5,0.610895
125,0.986203
595,0.996044
660,0.997086
32,0.979749
316,0.994524
2,0.019608
121,0.985804
140,0.991679
4,0.473684
94,0.981322
103,0.983625
140,0.987155
79,0.973340
73,0.972929
127,0.989656
330,0.996501
159,0.989215
42,0.956160
177,0.990321
70,0.986078
231,0.995843
119,0.985846
32,0.958472
98,0.981725
37,0.964552
73,0.969107
42,0.958848
211,0.991627
10,0.721448
40,0.966125
193,0.993676
428,0.997601
364,0.998210
34,0.959791
126,0.989685
54,0.977132
121,0.985159
37,0.967938
83,0.993938
12,0.879227
7,0.779249
108,0.987117
110,0.996291
75,0.991835
494,0.997931
478,0.998500
33,0.945975
201,0.995283
90,0.982572
92,0.983795
126,0.987551
139,0.988787
151,0.988061
71,0.975996
11,0.856322
20,0.906542
36,0.983019
3,0.310345
607,0.996806
264,0.994244
55,0.975266
70,0.993894
422,0.995908
41,0.977788
445,0.996372
388,0.996368
175,0.990353
126,0.988210
109,0.984719
1214,0.998478
105,0.982993
838,0.997670
546,0.995652
269,0.993323
106,0.984385
449,0.995923
551,0.996229
402,0.995618
61,0.985255
76,0.982008
639,0.997305
9,0.818841
87,0.984653
421,0.995820
363,0.997942
510,0.996558
4,0.555556
183,0.991851
74,0.977138
504,0.997555
40,0.955097
283,0.993103
15,0.888517
572,0.997313
575,0.996878
42,0.985326
565,0.996585
625,0.996668
459,0.995650
44,0.960317
832,0.998295
632,0.997177
32,0.944444
388,0.996824
113,0.984556
40,0.960443
180,0.990129
64,0.979305
260,0.993051
185,0.993428
514,0.996698
283,0.992212
1126,0.998063
21,0.939504
12,0.912968
216,0.989591
533,0.995774
505,0.994419
602,0.995544
35,0.949597
162,0.989702
251,0.991640
669,0.995734
305,0.993717
7,0.848714
173,0.986142
149,0.984577
21,0.896373
529,0.995707
78,0.991600
187,0.987860
137,0.983814
74,0.972804
15,0.909747
703,0.996164
34,0.967711
22,0.915896
21,0.897646
135,0.978175
1650,0.998634
46,0.976760
26,0.909338
346,0.994072
672,0.995657
255,0.992370
3,0.186992
32,0.930796
158,0.986215
90,0.978961
678,0.994387
108,0.976895
